,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPXW260513C06400000,2026-04-08 17:48:16+00:00,6400.0,450.16,473.4,480.5,0.0,0.0,1,10,0.2681080575180053,True,REGULAR,USD
1,SPXW260513C06450000,2026-04-09 14:48:06+00:00,6450.0,397.1,429.0,435.9,0.0,0.0,1,10,0.2572362790298462,True,REGULAR,USD
2,SPXW260513C06600000,2026-04-10 15:37:52+00:00,6600.0,310.88,301.3,307.5,131.95001,73.743935,2,1,0.22524082567214962,True,REGULAR,USD
3,SPXW260513C06700000,2026-04-10 15:37:52+00:00,6700.0,230.84,224.0,225.8,29.86,14.8572,3,2,0.20119893657684323,True,REGULAR,USD
4,SPXW260513C06750000,2026-04-10 14:44:41+00:00,6750.0,193.97,186.9,189.0,17.14,9.692925,2,15,0.1912236029815674,True,REGULAR,USD
5,SPXW260513C06800000,2026-04-10 19:25:54+00:00,6800.0,151.4,151.8,153.5,-11.310013,-6.9510245,10,20,0.18015155488967896,True,REGULAR,USD
6,SPXW260513C06825000,2026-04-10 17:48:42+00:00,6825.0,135.13,135.3,137.0,9.2400055,7.3397455,21,9,0.17500367240905762,False,REGULAR,USD
7,SPXW260513C06900000,2026-04-10 19:44:24+00:00,6900.0,89.17,90.8,92.3,-5.529999,-5.839492,13,76,0.16000443275451662,False,REGULAR,USD
8,SPXW260513C07000000,2026-04-10 19:30:44+00:00,7000.0,46.0,46.0,47.3,-3.4000015,-6.8825936,3,23,0.14301394104003906,False,REGULAR,USD
9,SPXW260513C07100000,2026-04-10 19:25:27+00:00,7100.0,20.39,19.5,20.6,-2.8700008,-12.338783,9,43,0.13128386425018307,False,REGULAR,USD
10,SPXW260513C07200000,2026-04-10 17:31:12+00:00,7200.0,8.88,7.4,8.3,-0.97000027,-9.847717,2,59,0.12605396659851073,False,REGULAR,USD
11,SPXW260513C07400000,2026-04-10 15:39:46+00:00,7400.0,2.2,1.25,1.95,0.43000007,24.293789,1,4,0.1336146209716797,False,REGULAR,USD
